task	episodes	transitions	mean_ep_len	old_fault_cells	new_fault_cells	kept	new_probs
libero_10:0	9	4680	520.0	2	1	6	0.9000,0.1000
libero_10:1	9	4680	520.0	1	1	0	0.9000,0.1000
libero_10:2	9	4177	464.1	2	1	0	0.9000,0.1000
libero_10:3	9	4650	516.7	2	1	0	0.9000,0.1000
libero_10:4	9	4504	500.4	3	1	4	0.9000,0.1000
libero_10:5	10	4166	416.6	1	1	5	0.9000,0.1000
libero_10:6	10	4416	441.6	4	1	5	0.9000,0.1000
libero_10:7	10	4496	449.6	3	1	5	0.9000,0.1000
libero_10:8	9	4680	520.0	1	1	5	0.9000,0.1000
libero_10:9	9	4680	520.0	1	1	0	0.9000,0.1000
libero_goal:0	20	4445	222.2	1	1	0	0.9000,0.1000
libero_goal:5	21	4309	205.2	2	2	4,5	0.4500,0.4500,0.1000
libero_goal:6	16	4208	263.0	3	2	0,6	0.5143,0.3857,0.1000
libero_goal:7	44	4193	95.3	1	1	6	0.9000,0.1000
libero_goal:8	49	4178	85.3	1	1	4	0.9000,0.1000
libero_object:0	15	4200	280.0	1	1	0	0.9000,0.1000
libero_object:1	32	4226	132.1	1	1	4	0.9000,0.1000
libero_object:3	24	4166	173.6	2	2	5,6	0.4500,0.4500,0.1000
libero_object:6	15	4200	280.0	2	2	0,6	0.7200,0.1800,0.1000
libero_object:8	15	4200	280.0	1	1	0	0.9000,0.1000
libero_object:9	25	4440	177.6	2	2	0,4	0.4500,0.4500,0.1000
libero_spatial:0	47	4236	90.1	1	1	0	0.9000,0.1000
libero_spatial:1	23	4275	185.9	2	2	0,4	0.6000,0.3000,0.1000
libero_spatial:3	43	4186	97.3	1	1	5	0.9000,0.1000
libero_spatial:5	31	4219	136.1	1	1	5	0.9000,0.1000
libero_spatial:6	32	4181	130.7	1	1	6	0.9000,0.1000
libero_spatial:7	26	4294	165.2	1	1	5	0.9000,0.1000
libero_spatial:8	35	4215	120.4	2	2	4,5	0.6750,0.2250,0.1000
